MonthEndingDate,NHSBoardName,LocationCode,LocationName,DepartmentType,AttendanceCategory,NumberOfAttendancesAll,NumberWithin4HoursAll,NumberOver4HoursAll,PercentageWithin4HoursAll,NumberOfAttendancesEpisode,NumberWithin4HoursEpisode,NumberOver4HoursEpisode,PercentageWithin4HoursEpisode,NumberOver8HoursEpisode,PercentageOver8HoursEpisode,NumberOver12HoursEpisode,PercentageOver12HoursEpisode
2007-07-31,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,Type 3,Unplanned,252,252,0,100,,,,,,,,
2007-07-31,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,Type 3,All,252,252,0,100,,,,,,,,
2007-07-31,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - Type 1,Type 1,Unplanned,5414,5290,124,97.7,5414,5290,124,97.7,26,0.5,24,0.4
2007-07-31,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - Type 1,Type 1,All,5414,5290,124,97.7,5414,5290,124,97.7,26,0.5,24,0.4
2007-07-31,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,Type 3,Unplanned,92,92,0,100,,,,,,,,
2007-07-31,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,Type 3,All,92,92,0,100,,,,,,,,
2007-07-31,NHS Ayrshire & Arran,A210H,University Hospital Ayr - Type 1,Type 1,Unplanned,3530,3355,175,95,3530,3355,175,95,3,0.1,1,0
2007-07-31,NHS Ayrshire & Arran,A210H,University Hospital Ayr - Type 1,Type 1,All,3530,3355,175,95,3530,3355,175,95,3,0.1,1,0
2007-07-31,NHS Borders,B103H,Knoll Community Hospital,Type 3,Unplanned,20,20,0,100,,,,,,,,
2007-07-31,NHS Borders,B103H,Knoll Community Hospital,Type 3,All,20,20,0,100,,,,,,,,
2007-07-31,NHS Borders,B105H,Hawick Community  Hospital,Type 3,Unplanned,105,105,0,100,,,,,,,,
2007-07-31,NHS Borders,B105H,Hawick Community  Hospital,Type 3,All,105,105,0,100,,,,,,,,
2007-07-31,NHS Borders,B114H,Kelso Community Hospital,Type 3,Unplanned,31,31,0,100,,,,,,,,
2007-07-31,NHS Borders,B114H,Kelso Community Hospital,Type 3,All,31,31,0,100,,,,,,,,
2007-07-31,NHS Borders,B118H,Hay Lodge Hospital,Type 3,Unplanned,87,87,0,100,,,,,,,,
2007-07-31,NHS Borders,B118H,Hay Lodge Hospital,Type 3,All,87,87,0,100,,,,,,,,
2007-07-31,NHS Borders,B120H,Borders General Hospital - Type 1,Type 1,Unplanned,1823,1804,19,99,1823,1804,19,99,0,0,0,0
2007-07-31,NHS Borders,B120H,Borders General Hospital - Type 1,Type 1,All,1823,1804,19,99,1823,1804,19,99,0,0,0,0
2007-07-31,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,Type 3,Unplanned,86,86,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,Type 3,All,86,86,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,Type 3,Unplanned,83,83,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,Type 3,All,83,83,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y109H,Moffat Hospital,Type 3,Unplanned,7,7,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y109H,Moffat Hospital,Type 3,All,7,7,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,Type 3,Unplanned,85,85,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,Type 3,All,85,85,0,100,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y144H,Galloway Community Hospital - Type 1,Type 1,Unplanned,1189,1167,22,98.1,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y144H,Galloway Community Hospital - Type 1,Type 1,All,1189,1167,22,98.1,,,,,,,,
2007-07-31,NHS Dumfries & Galloway,Y146H,Dumfries & Galloway Royal Infirmary - Type 1,Type 1,Unplanned,2970,2862,108,96.4,2970,2862,108,96.4,0,0,0,0
2007-07-31,NHS Dumfries & Galloway,Y146H,Dumfries & Galloway Royal Infirmary - Type 1,Type 1,All,2970,2862,108,96.4,2970,2862,108,96.4,0,0,0,0
2007-07-31,NHS Fife,F704H,Victoria Hospital (NHS Fife) - Type 1,Type 1,Unplanned,3912,3703,209,94.7,3912,3703,209,94.7,6,0.2,1,0
2007-07-31,NHS Fife,F704H,Victoria Hospital (NHS Fife) - Type 1,Type 1,All,3912,3703,209,94.7,3912,3703,209,94.7,6,0.2,1,0
2007-07-31,NHS Fife,F708H,Adamson Hospital,Type 3,Unplanned,174,174,0,100,,,,,,,,
2007-07-31,NHS Fife,F708H,Adamson Hospital,Type 3,All,174,174,0,100,,,,,,,,
2007-07-31,NHS Fife,F709H,St Andrews Community Hospital,Type 3,Unplanned,282,282,0,100,,,,,,,,
2007-07-31,NHS Fife,F709H,St Andrews Community Hospital,Type 3,All,282,282,0,100,,,,,,,,
